"Name","GUID","ProtoFile","CommodityType","DefaultConfigState","DefaultComputationSchedule","DefaultTransmission","DependencyRules1","DependencyRules2","DependencyRules3","DependencyRules4","DependencyRules5","DependencyRules6","DependencyRules7"
"NvidiaGraphicsAnalysis","7f1587ec-91f9-4875-98f5-1c0fb483581e","NvidiaGraphicsAnalysis.proto","Graphics","Enabled","Midnight","","DatatypeType = NvidiaGraphicDynamicInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"OsSystemPerfAnalysis","4a1fe2cf-360c-41a7-b0d9-9d702e4ef9ca","OsSystemPerfAnalysis.proto","WindowsPerformance","Enabled","Midnight","","DatatypeType = OSSystemPerf, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"PhysicalDiskAnalysis","05397a90-3a6a-4534-9959-a15a5f529543","PhysicalDiskAnalysis.proto","Disk","Enabled","Midnight","","DatatypeType = PhysicalDiskDynamicInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"Rj45ConnectivityAnalysis","348533c0-ecf0-4152-ba85-8dd5638c5fce","Rj45ConnectivityAnalysis.proto","Network","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = Rj45Connectivity, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = Rj45ConnectivityChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,
"ScreenStateAnalysis","3aa6310e-024f-49d3-bf65-02bf6f8fd600","ScreenStateAnalysis.proto","Graphics","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = PowerSource, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = PowerSourceChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ScreenStateInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",
"SmartAnalysis","5e9e720e-35b5-4fcf-9c2f-6f039c346e08","SmartAnalysis.proto","Disk","Enabled","Midnight","","DatatypeType = SmartDynamicInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = SmartNvmeInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,
"SmiDurationAnalysis","61b603d5-22c2-4253-b0e6-f3d759ce28dd","SmiDurationAnalysis.proto","SystemDevice","","","","DatatypeType = SmiOccurrence, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,,,,,
"SuspendAndShutdownAnalysis","cf59ddbd-51ea-43ab-b64c-95a76eaa30be","SuspendAndShutdownAnalysis.proto","SystemInfo","Enabled","Midnight","","DatatypeType = SuspendResumeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,
"ThermalAnalysis","85b7c47d-f34a-472d-a1f7-45376b24e6d7","ThermalAnalysis.proto","Thermistor","Enabled","Midnight","","DatatypeType = ThermalInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"ThirdPartyApplicationAnalysis","05d16bdc-5615-4f00-b398-1d2d6a771812","ThirdPartyApplicationAnalysis.proto","SoftwareInventory","Enabled","Midnight","","DatatypeType = ProcessInformationSet, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = ForegroundApplicationInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationCrashEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationHangEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = AIAcceleratorStaticInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
"UsbDataAnalysis","bc73402b-e16f-4439-8fc0-3cd4318601c0","USBDataAnalysis.proto","UsbPort","Enabled","Midnight","","DatatypeType = UsbData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = UsbData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BiosIqGenericEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = BiosAttributes, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = BiosAttributes, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = WindowsUserSettingsInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = WindowsUserSettingsInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
