"Name","GUID","ProtoFile","CommodityType","DefaultState","CollectionTrigger","Volatility","DefaultCollectionInterval","ShortestCollectionInterval","DefaultConfigState","DefaultCollectionSchedule","DefaultTransmission","Description"
"RawInputUsageInfo","4fd55ae3-3d64-4061-9336-a346c46729a3","RawInputUsage.proto","SystemDevice","Dormant","Periodic","Changeable","00 d 00 hr 20 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Usage of Raw Input"
"Rj45Connectivity","a1d3cfe2-c9f1-4711-86b3-a902fb575804","Rj45ConnectivityChangeEvent.proto","Network","Dormant","Periodic","Changeable","00 d 01 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Rj45 connectivity"
"Rj45ConnectivityChangeEvent","0bf07c4a-4acf-4c09-bbbe-49d3689f40ba","Rj45ConnectivityChangeEvent.proto","Network","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Rj45 connectivity change event"
"ScreenStateInfo","e54e5e48-54d9-415a-8149-021818361e2b","ScreenStateInfo.proto","Graphics","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Screen state info"
"SecurityProductInfo","9cd2f6ba-b9be-4861-a41d-a1b839897f77","SecurityProductInfo.proto","ApplicationConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Security Product"
"ServiceStatus","4ce5b966-b863-4108-990d-4f0a6900a896","ServiceStatus.proto","SystemInfo","Dormant","Periodic","Volatile","00 d 00 hr 05 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Service Status"
"SleepStudyData","61d79434-dfdb-41fd-9358-0283a9125da8","SleepStudyData.proto","Event","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Sleep Study event tracing"
"SmartCardReaderData","cf143ad8-d54c-4e31-9945-80f3124bd513","SmartCardReader.proto","BiometricDevice","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Smart Card Reader"
"SmiOccurrence","4425764b-deaf-4d95-9281-9e0609803aba","SmiOccurrence.proto","SystemDevice","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Disabled","","","Occurrence of a SMI event"
"SrumNetworkUsageInfo","c7807492-19dc-4903-b60a-a175f6763c0d","SrumNetworkUsageInfo.proto","Network","Dormant","OnDemandOnly","Volatile","01 d 00 hr 00 min 00 sec","00 d 01 hr 00 min 00 sec","Enabled","Midday","","Network Usage Data from System Resource Usage Monitor (SRUM)"
"StandbyHibernateInfo","8f5ddf5b-8365-4d01-ad3c-a47eb8a07b5c","StandbyHibernateInfo.proto","SleepConfig","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Standby and Hibernate"
