"Name","GUID","ProtoFile","CommodityType","DefaultState","CollectionTrigger","Volatility","DefaultCollectionInterval","ShortestCollectionInterval","DefaultConfigState","DefaultCollectionSchedule","DefaultTransmission","Description"
"ChargerDynamicInfo","b1b58ceb-8131-432e-939e-d319582bb004","ChargerDynamicInfo.proto","Power","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Charger Dynamic Data Collector"
"ChargerStaticInfo","43a75abd-4734-4ce5-9111-fe7f7dfe7160","ChargerStaticInfo.proto","Power","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Charger static data Collector"
"ConnectedBluetoothStaticData","0cf20e37-8b37-498e-b14f-53dbc0a03a84","ConnectedBluetoothStaticData.proto","Bluetooth","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Connected Bluetooth Static Data"
"ControlVaultFingerprintDynamicData","3afdc043-d1d5-4785-aba6-d0846e0abfa4","ControlVaultDynamicData.proto","SecurityHardware","Dormant","Periodic","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Control Vault fingerprint telemetry data"
"ControlVaultStaticData","b764e58c-894e-4365-978e-ccfb58212937","ControlVaultStaticData.proto","SecurityHardware","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Control Vault static data"
"ConvertibleSlateMode","e6124132-ea2c-4f0e-9671-242f79cbee48","ConvertibleSlateMode.proto","DeviceStatus","Dormant","Periodic","Volatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Convertible Slate Mode"
"ConvertibleSlateModeChangeEvent","68993049-5169-4c19-ac02-263beedb63dd","ConvertibleSlateMode.proto","DeviceStatus","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Convertible Slate Mode Change Event"
"CpuDynamicData","10466b48-557f-4966-a697-2247d2f3cb4b","CpuDynamicData.proto","Cpu","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","","","CPU Dynamic information"
"CpuStaticPowerData","5eea46a3-1fb8-4584-ac0b-6bc22a69385a","CpuPowerData.proto","Power","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","CPU Static Power Data"
"CpuDynamicPowerData","8f131571-dd33-4c30-bdc8-8709144a81c9","CpuPowerData.proto","Power","Dormant","Periodic","Volatile","00 d 00 hr 05 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","","","CPU Dynamic Power Data"
"CpuDynamicPowerDataLite","e71a1514-c0e0-4ae4-b00d-74cd614e20d8","CpuPowerData.proto","Power","Dormant","Periodic","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 01 sec","","","","CPU Dynamic Power Data Lite"
"CpuStaticInfo","c9b162e7-c8e7-4e53-b338-295f6afad85d","CpuStaticInfo.proto","Cpu","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","CPU Static"
"CpuThermalData","265e9830-fc40-11ec-b939-0242ac120002","CpuThermalData.proto","Thermistor","Dormant","Periodic","Volatile","00 d 00 hr 05 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","","","CPU Thermal"
"CustomSoftwareTelemetryEvent","18aea0c0-dc3b-44c7-b912-47eab80688fe","CustomSoftwareTelemetryEvent.proto","SoftwareTelemetry","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Custom Software Telemetry Event"
"DeviceState","865f23f4-fcf9-4934-9535-0d2a61d54816","DeviceState.proto","SystemDevice","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Device State"
"DimmInfo","3c49f6d7-a4d5-47ee-9335-384b8da1764b","DimmInfo.proto","MemoryDimm","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","DIMM"
"PhysicalDiskStaticInfo","e8242a3b-7c6f-450d-9020-ada25a2dc450","DiskInfo.proto","Disk","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Physical Disk Static"
"PhysicalDiskDynamicInfo","c6e5c086-feb4-4ac4-ac33-b6e089bf4ce0","DiskInfo.proto","Disk","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 05 sec","Enabled","","","Physical Disk Dynamic"
"SmartStaticInfo","052933e8-e2d3-4228-b90a-4a75ab6d26e1","DiskSmartInfo.proto","Disk","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","S.M.A.R.T. (static)"
"SmartDynamicInfo","5dbd9ac3-f997-48a4-96a5-712868b40d5c","DiskSmartInfo.proto","Disk","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","SMART Dynamic"
"SmartNvmeInfo","a7bdf138-bdfb-476f-ac36-53e9b96c8d1b","DiskSmartInfo.proto","Disk","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","S.M.A.R.T. Health for NVMe"
"NvmeIdentifyControllerData","c6ff60aa-2145-48c2-abfd-0099721c7e57","DiskSmartInfo.proto","Disk","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Identify controller data for NVMe"
"DockInfo","7437ea77-5bf5-4b67-8793-e7e5dcf46976","DockInfo.proto","Dock","Dormant","EventBased","Changeable","00 d 00 hr 02 min 30 sec","00 d 00 hr 02 min 30 sec","Enabled","Midday","","Dock Data Collector"
"DockStateEvent","73ab9ec6-9c79-4bc5-9aa2-ad8c0aaf21b1","DockInfo.proto","Dock","Dormant","EventBased","Volatile","10675199 d 02 hr 48 min 05 sec","10675199 d 02 hr 48 min 05 sec","Enabled","","","Dock State Event"
"DriverInfo","e3ca3f01-4ecf-4bc8-bbc6-0cadccab0fbc","DriverInfo.proto","SoftwareInventory","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Driver"
"EnergyEstimationEngineData","15457db1-925a-4777-b079-662289b4d828","EnergyEstimationEngineData.proto","SystemInfo","Dormant","OnDemandOnly","Nonvolatile","30 d 00 hr 00 min 00 sec","01 d 00 hr 00 min 00 sec","Enabled","Midday","","Energy Estimation Engine(E3) Data"
"EppPowerData","a6a070ed-37e5-4334-ad8a-6c7f98f3404a","EppPower.proto","Power","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","EPP Power Data"
"EffectivePowerModeEvent","258d7bae-07a0-4ad3-a79b-7a8c3ad14269","EppPower.proto","Power","Dormant","EventBased","Volatile","10675199 d 02 hr 48 min 05 sec","10675199 d 02 hr 48 min 05 sec","Enabled","","","Effective Power Mode Event"
"EpsaLog","4fada209-a800-4013-a993-c0c965d52512","EpsaLog.proto","BIOS","Dormant","EventBased","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","OnStartup","","ePSA Log"
"ApplicationCrashEvent","c35cd409-7706-4204-8323-17452b9b86dd","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Application Crash Event"
"ApplicationHangEvent","7b2d54bd-83c1-448a-961d-ab1df0be75ce","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Application Hang Event"
"DiagnosticPerformanceEvent","81423c33-8358-4ffd-8771-568094b919bf","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Diagnostic Performance Event"
"UnexpectedShutdownEvent","9a6d76ff-d7e4-4b21-a217-bfa4d819b7d5","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Unexpected Shutdown Event"
"WiFiConnectEvent","64997c4d-b4a6-419d-8238-04f4bac392d9","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","WiFi Connect Event"
"WirelessSecurityEvent","7a9b1271-fb0d-42f6-9d56-1999e66d7d6a","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Wireless Security Event"
"BsodEvent","30800114-bf1c-4a43-9011-62ab96f86ec4","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","OnStartup","","BSOD"
"WERBsodEvent","2caa6b0b-98dc-423c-a2f9-66ab67078f41","EventLog.proto","Event","Dormant","Periodic","Changeable","00 d 01 hr 00 min 00 sec","00 d 00 hr 15 min 00 sec","Enabled","","","Windows Error Reporting (WER) 1001 BlueScreen (BSOD) Event"
"OsBootInfo","692279e6-7417-41e8-9c20-453137ae3639","EventLog.proto","OsMemory","Dormant","OnDemandOnly","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Information about Boot events"
"OsRestartShutdownInfo","cf2d8c86-d6fa-46bd-a1a5-4112c26e06ba","EventLog.proto","OsMemory","Dormant","OnDemandOnly","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Information about Restart and Shutdown events"
"BsodEventList","2d9005a0-06ed-4a34-982a-2844dff7b8e7","EventLog.proto","Event","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","BSOD Event List"
"DellAudioTelemetryEvent","61df474c-4163-40c0-b288-0d74a22f232f","EventLog.proto","Sound","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Dell Audio Telemetry Event"
"FanData","32d2cb9c-2013-4a0f-8393-63ea74952d72","FanData.proto","Fan","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 02 sec","Enabled","Midday","","Fan"
"FanStaticData","a88416f2-0743-4bd5-b81f-ffcb98e374f3","FanData.proto","Fan","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","Midday","","Fan Static Data"
"ForegroundApplicationInfo","4e3cb25e-97be-4b9e-bc3b-9142f74c9ed9","ForegroundApplicationInfo.proto","SoftwareInventory","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 03 min 00 sec","Enabled","","","Foreground Application Information"
"FreefallEvent","a001f038-b7f0-47c7-a85b-3a184d726dba","FreefallEvent.proto","FreefallSensor","Dormant","EventBased","Volatile","10675199 d 02 hr 48 min 05 sec","00 d 00 hr 00 min 01 sec","Enabled","","","Freefall event"
"FreefallSensorInfo","5eb6710c-431a-4c6c-acaf-9ed6442c3498","FreefallSensorInfo.proto","FreefallSensor","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Freefall Sensor Information"
"FreefallSensorReading","38ccb60b-56a9-46b2-9b32-7db44f0a8621","FreefallSensorReading.proto","FreefallSensor","Dormant","EventBased","Volatile","10675199 d 02 hr 48 min 05 sec","00 d 00 hr 00 min 01 sec","Enabled","","","Freefall Sensor Reading"
"InstalledApplicationInfo","d602c495-5342-4832-986a-9f8126923af3","InstalledApplicationInfo.proto","SoftwareInventory","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Installed Application"
"IntegratedGpuData","89d739bc-5510-49d4-a783-a4bddceb7e17","IntegratedGpuData.proto","IntegratedGraphics","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 02 sec","Enabled","","","Integrated Gpu data"
"KeyboardData","f8adf364-65db-4448-b39b-ea509cf380ed","KeyboardData.proto","Keyboard","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Keyboard"
"LANStaticData","0be13e23-9a41-4792-8261-78b05c0486a6","LANData.proto","Network","Dormant","OnDemandOnly","Nonvolatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","Midday","","LAN Static"
"LANDynamicData","3d6eab80-f595-48cd-87ad-358b6974652f","LANData.proto","Network","Dormant","Periodic","Volatile","00 d 01 hr 00 min 00 sec","00 d 00 hr 05 min 00 sec","Enabled","","","LAN Dynamic"
"LidState","9002cc97-1fc0-48fb-b8f6-fcdb65973f72","LidState.proto","LidSensor","Dormant","Periodic","Volatile","00 d 04 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Lid State"
"LidStateChangeEvent","09b97634-348d-11ed-a261-0242ac120002","LidState.proto","LidSensor","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Lid State Change Event"
"LogicalDriveStaticInfo","646b1c8e-6ea7-45e0-8e01-e1e53b104291","LogicalDrive.proto","Disk","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","01 d 00 hr 00 min 00 sec","Enabled","Midday","","Logical Drive Static Info"
"LogicalDriveDynamicInfo","352ab1c8-a699-493f-aa93-4f188f7bf37b","LogicalDrive.proto","Disk","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 05 sec","Enabled","","","Logical Drive Dynamic Info"
"MemoryDynamicInfo","372f9432-1330-4ef8-9dc4-88659a442993","MemoryDynamicInfo.proto","OsMemory","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 05 sec","Enabled","","","Memory Dynamic"
"MemoryStaticInfo","2f162b1a-c5ba-4a09-96b7-36ad0eb64a63","MemoryStaticInfo.proto","OsMemory","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Memory Static"
"Microsoft365AppCacheInfo","3307185a-6914-48ea-9e9e-74b2428d112c","Microsoft365AppCacheInfo.proto","SoftwareInventory","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Microsoft 365 Applications Cache Information"
"ModernStandbyData","1868bb7e-a688-407a-b2d1-d6fe87a61a01","ModernStandbyData.proto","Event","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Modern Standby event tracing"
"EtwEnergyEstimationData","710174af-2367-4f34-acc4-a04d45be432b","ModernStandbyData.proto","SystemInfo","Dormant","EventBased","Nonvolatile","30 d 00 hr 00 min 00 sec","01 d 00 hr 00 min 00 sec","Enabled","","","Energy Estimation Engine(E3) Data from ETW for MSB"
"MonitorInfo","3208e3c9-cbcc-44a5-b004-309a936a3f0f","MonitorInfo.proto","Monitor","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Monitor information"
